日付,始値,高値,安値,終値
2017-05-09,19915.64,19917.45,19838.71,19843.00
2017-05-08,19709.01,19929.48,19705.13,19895.70
2017-05-02,19335.72,19464.30,19335.02,19445.70
2017-05-01,19154.03,19311.21,19144.62,19310.52
2017-04-28,19240.65,19264.57,19164.68,19196.74
2017-04-27,19205.59,19281.70,19199.59,19251.87
2017-04-26,19184.92,19289.43,19170.86,19289.43
2017-04-25,18872.56,19109.76,18867.19,19079.33
2017-04-24,18890.38,18910.33,18840.13,18875.88
2017-04-21,18591.82,18648.28,18542.42,18620.75
2017-04-20,18446.39,18523.40,18420.82,18430.49
2017-04-19,18327.33,18467.73,18327.33,18432.20
2017-04-18,18497.38,18547.46,18362.73,18418.59
2017-04-17,18239.84,18361.44,18224.68,18355.26
2017-04-14,18531.91,18531.91,18285.73,18335.63
2017-04-13,18391.72,18455.25,18304.72,18426.84
2017-04-12,18592.10,18602.50,18460.59,18552.61
2017-04-11,18717.55,18767.70,18661.86,18747.87
2017-04-10,18800.22,18850.80,18762.70,18797.88
2017-04-07,18714.98,18785.73,18517.43,18664.63
2017-04-06,18754.37,18797.44,18532.65,18597.06
2017-04-05,18900.70,18941.94,18773.94,18861.27
2017-04-04,18933.82,18947.33,18703.63,18810.25
2017-04-03,18988.00,19068.62,18920.52,18983.23
2017-03-31,19170.42,19210.92,18909.26,18909.26
2017-03-30,19150.82,19218.08,19043.48,19063.22
2017-03-29,19216.78,19251.30,19164.61,19217.48
2017-03-28,19159.07,19203.64,19113.44,19202.87
2017-03-27,19071.19,19086.89,18932.09,18985.59
2017-03-24,19066.35,19296.05,19060.64,19262.53
2017-03-23,19048.84,19105.11,18973.75,19085.31
2017-03-22,19146.62,19183.27,19026.53,19041.38
2017-03-21,19416.55,19485.14,19337.22,19455.88
2017-03-17,19510.89,19547.51,19487.92,19521.59
2017-03-16,19458.70,19618.99,19454.17,19590.14
2017-03-15,19528.75,19581.53,19503.74,19577.38
2017-03-14,19634.29,19637.55,19599.62,19609.50
2017-03-13,19545.74,19656.48,19531.51,19633.75
2017-03-10,19444.71,19623.72,19427.81,19604.61
2017-03-09,19343.06,19350.20,19262.98,19318.58
2017-03-08,19308.53,19326.40,19198.78,19254.03
2017-03-07,19337.19,19375.09,19317.10,19344.15
2017-03-06,19409.18,19411.54,19340.32,19379.14
2017-03-03,19551.34,19587.79,19392.75,19469.17
2017-03-02,19624.82,19668.01,19564.80,19564.80
2017-03-01,19226.94,19414.55,19164.62,19393.54
2017-02-28,19194.68,19267.99,19118.99,19118.99
2017-02-27,19130.51,19178.99,18995.55,19107.47
2017-02-24,19232.11,19381.10,19219.58,19283.54
2017-02-23,19379.92,19379.92,19262.63,19371.46
2017-02-22,19419.22,19419.22,19329.28,19379.87
2017-02-21,19267.87,19395.35,19261.98,19381.44
2017-02-20,19161.33,19274.75,19115.11,19251.08
2017-02-17,19228.74,19275.39,19173.53,19234.62
2017-02-16,19431.61,19431.61,19260.24,19347.53
2017-02-15,19438.81,19495.62,19420.00,19437.98
2017-02-14,19478.86,19501.01,19232.85,19238.98
2017-02-13,19513.78,19519.44,19418.18,19459.15
2017-02-10,19216.74,19395.99,19193.57,19378.93
2017-02-09,18942.04,18991.23,18874.91,18907.67
2017-02-08,18951.16,19009.24,18875.57,19007.60
2017-02-07,18844.12,18970.58,18805.32,18910.78
2017-02-06,19069.72,19075.57,18899.40,18976.71
2017-02-03,18996.74,19061.26,18830.89,18918.20
2017-02-02,19152.79,19170.63,18866.80,18914.58
2017-02-01,18926.97,19155.79,18916.18,19148.08
2017-01-31,19145.35,19199.75,19041.34,19041.34
2017-01-30,19371.28,19390.97,19295.80,19368.85
2017-01-27,19453.51,19486.68,19404.13,19467.40
2017-01-26,19260.67,19405.23,19232.46,19402.39
2017-01-25,19091.23,19133.18,18987.45,19057.50
2017-01-24,18817.42,18915.70,18783.16,18787.99
2017-01-23,18938.45,19024.21,18879.68,18891.03
2017-01-20,19059.15,19176.86,19040.20,19137.91
2017-01-19,19082.83,19122.39,18982.13,19072.25
2017-01-18,18753.96,18941.24,18650.33,18894.37
2017-01-17,19038.45,19043.91,18812.86,18813.53
2017-01-16,19219.13,19255.41,19061.27,19095.24
2017-01-13,19174.97,19299.36,19156.93,19287.28
2017-01-12,19300.19,19300.19,19069.02,19134.70
2017-01-11,19358.64,19402.17,19325.46,19364.67
2017-01-10,19414.83,19484.90,19255.35,19301.44
2017-01-06,19393.55,19472.37,19354.44,19454.33
2017-01-05,19602.10,19615.40,19473.28,19520.69
2017-01-04,19298.68,19594.16,19277.93,19594.16
